# packages in environment at /Users/christabele/miniforge3:
#
# Name                     Version          Build               Channel
archspec                   0.2.5            pyhd8ed1ab_0        conda-forge
backports.zstd             1.5.0            py313h116f8bd_0     conda-forge
boltons                    25.0.0           pyhd8ed1ab_0        conda-forge
brotli-python              1.2.0            py313h8d69aa9_1     conda-forge
bzip2                      1.0.8            h500dc9f_9          conda-forge
c-ares                     1.34.6           hb5e19a0_0          conda-forge
ca-certificates            2026.5.20        hbd8a1cb_0          conda-forge
certifi                    2026.5.20        pyhd8ed1ab_0        conda-forge
cffi                       2.0.0            py313hf57695f_1     conda-forge
charset-normalizer         3.4.7            pyhd8ed1ab_0        conda-forge
conda                      26.3.2           py313habf4b1d_1     conda-forge
conda-libmamba-solver      26.4.2           pyhd8ed1ab_0        conda-forge
conda-package-handling     2.4.0            pyh7900ff3_2        conda-forge
conda-package-streaming    0.12.0           pyhd8ed1ab_0        conda-forge
cpp-expected               1.3.1            h0ba0a54_0          conda-forge
distro                     1.9.0            pyhd8ed1ab_1        conda-forge
fmt                        12.1.0           hda137b5_0          conda-forge
frozendict                 2.4.7            py313hf050af9_0     conda-forge
h2                         4.3.0            pyhcf101f3_0        conda-forge
hpack                      4.1.0            pyhd8ed1ab_0        conda-forge
hyperframe                 6.1.0            pyhd8ed1ab_0        conda-forge
idna                       3.17             pyhcf101f3_0        conda-forge
jsonpatch                  1.33             pyhd8ed1ab_1        conda-forge
jsonpointer                3.1.1            pyhcf101f3_0        conda-forge
krb5                       1.22.2           h207b36a_0          conda-forge
libarchive                 3.8.7            gpl_h2bf6321_101    conda-forge
libcurl                    8.20.0           h8f0b9e4_0          conda-forge
libcxx                     22.1.6           h19cb2f5_0          conda-forge
libedit                    3.1.20250104     pl5321ha958ccf_0    conda-forge
libev                      4.33             h10d778d_2          conda-forge
libexpat                   2.8.1            hcc62823_0          conda-forge
libffi                     3.5.2            hd1f9c09_0          conda-forge
libiconv                   1.18             h57a12c2_2          conda-forge
liblzma                    5.8.3            hbb4bfdb_0          conda-forge
libmamba                   2.5.0            h7fe6c55_0          conda-forge
libmamba-spdlog            2.5.0            hb923e0c_0          conda-forge
libmambapy                 2.5.0            py313h399c52a_0     conda-forge
libmpdec                   4.0.0            hf3981d6_1          conda-forge
libnghttp2                 1.68.1           h70048d4_0          conda-forge
libsolv                    0.7.39           hf97c9bc_0          conda-forge
libsqlite                  3.53.1           h77d7759_0          conda-forge
libssh2                    1.11.1           hed3591d_0          conda-forge
libxml2                    2.15.3           h0712280_0          conda-forge
libxml2-16                 2.15.3           h0d7f165_0          conda-forge
libzlib                    1.3.2            hbb4bfdb_2          conda-forge
lz4-c                      1.10.0           h240833e_1          conda-forge
lzo                        2.10             h4132b18_1002       conda-forge
mamba                      2.5.0            h965a6a9_0          conda-forge
menuinst                   2.4.2            py313habf4b1d_0     conda-forge
msgpack-python             1.1.2            py313h5eff275_1     conda-forge
ncurses                    6.6              hcc0dc9a_0          conda-forge
nlohmann_json-abi          3.12.0           h0f90c79_1          conda-forge
numpy                      2.5.1            pypi_0              pypi
openssl                    3.6.2            hc881268_0          conda-forge
packaging                  26.2             pyhc364b38_0        conda-forge
pip                        26.1.2           pyh145f28c_0        conda-forge
platformdirs               4.10.0           pyhcf101f3_0        conda-forge
pluggy                     1.6.0            pyhf9edf01_1        conda-forge
pybind11-abi               11               hc364b38_1          conda-forge
pycosat                    0.6.6            py313h585f44e_3     conda-forge
pycparser                  3.0              pyhcf101f3_0        conda-forge
pysocks                    1.7.1            pyha55dd90_7        conda-forge
python                     3.13.13          h3d5d122_100_cp313  conda-forge
python_abi                 3.13             8_cp313             conda-forge
readline                   8.3              h68b038d_0          conda-forge
reproc                     14.2.7.post0     ha1e9b39_1          conda-forge
reproc-cpp                 14.2.7.post0     hcc62823_1          conda-forge
requests                   2.34.2           pyhcf101f3_0        conda-forge
ruamel.yaml                0.18.17          py313h16366db_2     conda-forge
ruamel.yaml.clib           0.2.15           py313h16366db_1     conda-forge
setuptools                 82.0.1           pyh332efcf_0        conda-forge
simdjson                   4.2.4            hcb651aa_0          conda-forge
spdlog                     1.17.0           h30f01e4_1          conda-forge
tk                         8.6.13           h7142dee_3          conda-forge
tqdm                       4.67.3           pyh8f84b5b_0        conda-forge
truststore                 0.10.4           pyhcf101f3_0        conda-forge
tzdata                     2025c            hc9c84f9_1          conda-forge
urllib3                    2.7.0            pyhd8ed1ab_0        conda-forge
yaml-cpp                   0.8.0            h92383a6_0          conda-forge
zstandard                  0.25.0           py313hcb05632_1     conda-forge
zstd                       1.5.7            h3eecb57_6          conda-forge
